ID,diam,rings
2_26_10_a,0.3,1
3_26_10_a,0.5,2
4_26_10_a,0.3,2
5_26_10_a,0.4,1
6_26_10_a,0.8,3
7_26_10_a,0.6,2
8_26_10_a,0.7,1
8_26_10_a,0.7,3
9_26_10_a,1,2
10_26_10_a,1.4,3
1_26_10_b,0.3,2
11_26_10_b,0.3,5
12_26_10_b,0.8,3
1_02_11_a,0.3,3
2_02_11_a,0.6,5
2_02_11_a,0.6,6
3_02_11_a,0.8,4
3_02_11_a,1.1,4
4_02_11_a,0.7,5
4_02_11_a,1,5
6_02_11_a,0.2,2
7_02_11_a,0.7,5
8_02_11_a,0.5,2
8_02_11_a,0.5,3
8_02_11_a,0.6,2
8_02_11_a,0.6,3
9_02_11_a,0.4,4
9_02_11_a,0.5,4
10_02_11_a,0.5,4
10_02_11_a,0.5,5
10_02_11_a,0.6,4
10_02_11_a,0.6,5
1_02_11_b,1,2
2_02_11_b,0.4,2
2_02_11_b,0.4,3
2_02_11_b,0.7,2
2_02_11_b,0.7,3
3_02_11_b,0.8,4
3_02_11_b,0.8,5
4_02_11_b,0.2,3
5_02_11_b,0.4,3
7_02_11_b,0.4,3
7_02_11_b,0.4,4
7_02_11_b,0.6,3
7_02_11_b,0.6,4
7_02_11_b,0.8,3
7_02_11_b,0.8,4
8_02_11_b,0.7,1
9_02_11_b,0.4,2
9_02_11_b,0.4,3
9_02_11_b,0.4,4
9_02_11_b,0.8,2
9_02_11_b,0.8,3
9_02_11_b,0.8,4
10_02_11_b,1,4
10_02_11_b,1,6
10_02_11_b,1.3,4
10_02_11_b,1.3,6
1_09_11_a,0.4,2
1_09_11_a,0.4,4
1_09_11_a,0.4,5
1_09_11_a,0.6,2
1_09_11_a,0.6,4
1_09_11_a,0.6,5
2_09_11_a,0.3,3
2_09_11_a,0.3,5
3_09_11_a,0.5,6
4_09_11_a,1.1,4
5_09_11_a,0.8,2
5_09_11_a,0.8,3
5_09_11_a,0.8,4
5_09_11_a,0.8,6
5_09_11_a,1.2,2
5_09_11_a,1.2,3
5_09_11_a,1.2,4
5_09_11_a,1.2,6
6_09_11_a,0.1,2
6_09_11_a,0.4,2
7_09_11_a,0.4,1
8_09_11_a,0.4,2
8_09_11_a,0.4,3
8_09_11_a,0.5,2
8_09_11_a,0.5,3
8_09_11_a,0.8,2
8_09_11_a,0.8,3
9_09_11_a,0.7,3
10_09_11_a,0.7,3
10_09_11_a,0.7,4
10_09_11_a,1,3
10_09_11_a,1,4
1_09_11_b,0.4,3
1_09_11_b,0.5,3
2_09_11_b,0.4,4
2_09_11_b,0.4,5
2_09_11_b,0.6,4
2_09_11_b,0.6,5
2_09_11_b,0.8,4
2_09_11_b,0.8,5
3_09_11_b,0.8,3
4_09_11_b,0.1,5
4_09_11_b,0.6,5
5_09_11_b,0.6,3
6_09_11_b,0.8,3
8_09_11_b,0.4,4
9_09_11_b,0.3,1
10_09_11_b,1,5
3_16_11_a,0.8,1
3_16_11_a,0.8,4
4_16_11_a,0.1,2
4_16_11_a,0.1,4
4_16_11_a,0.2,2
4_16_11_a,0.2,4
4_16_11_a,0.4,2
4_16_11_a,0.4,4
5_16_11_a,0.4,2
5_16_11_a,0.4,3
5_16_11_a,0.4,6
5_16_11_a,0.4,7
5_16_11_a,0.8,2
5_16_11_a,0.8,3
5_16_11_a,0.8,6
5_16_11_a,0.8,7
5_16_11_a,0.9,2
5_16_11_a,0.9,3
5_16_11_a,0.9,6
5_16_11_a,0.9,7
6_16_11_a,0.4,4
6_16_11_a,0.4,7
6_16_11_a,0.6,4
6_16_11_a,0.6,7
7_16_11_a,0.4,2
7_16_11_a,0.4,3
7_16_11_a,0.7,2
7_16_11_a,0.7,3
8_16_11_a,0.2,2
8_16_11_a,0.2,3
8_16_11_a,0.2,4
8_16_11_a,0.2,5
8_16_11_a,0.3,2
8_16_11_a,0.3,3
8_16_11_a,0.3,4
8_16_11_a,0.3,5
8_16_11_a,0.5,2
8_16_11_a,0.5,3
8_16_11_a,0.5,4
8_16_11_a,0.5,5
9_16_11_a,0.3,2
9_16_11_a,0.3,5
9_16_11_a,0.4,2
9_16_11_a,0.4,5
10_16_11_a,0.5,5
11_16_11_a,0.5,4
11_16_11_a,0.5,5
11_16_11_a,0.5,6
11_16_11_a,1,4
11_16_11_a,1,5
11_16_11_a,1,6
1_16_11_b,0.3,1
1_16_11_b,0.4,1
2_16_11_b,0.6,2
3_16_11_b,0.7,4
4_16_11_b,0.6,4
4_16_11_b,0.6,5
4_16_11_b,0.8,4
4_16_11_b,0.8,5
5_16_11_b,0.6,4
5_16_11_b,0.9,4
6_16_11_b,0.4,3
7_16_11_b,0.4,3
7_16_11_b,0.4,4
7_16_11_b,0.6,3
7_16_11_b,0.6,4
8_16_11_b,0.6,2
9_16_11_b,0.6,3
9_16_11_b,0.8,3
10_16_11_b,0.9,4
10_16_11_b,0.9,5
10_16_11_b,1,4
10_16_11_b,1,5
10_16_11_b,1.2,4
10_16_11_b,1.2,5
1_23_11_a,0.4,3
1_23_11_a,0.4,4
1_23_11_a,0.4,5
1_23_11_a,0.6,3
1_23_11_a,0.6,4
1_23_11_a,0.6,5
2_23_11_a,0.5,2
2_23_11_a,0.5,3
2_23_11_a,0.5,4
2_23_11_a,0.7,2
2_23_11_a,0.7,3
2_23_11_a,0.7,4
3_23_11_a,0.8,4
3_23_11_a,0.9,4
3_23_11_a,1,4
4_23_11_a,0.5,3
4_23_11_a,0.7,3
5_23_11_a,0.2,3
5_23_11_a,0.5,3
6_23_11_a,0.9,4
7_23_11_a,0.5,1
7_23_11_a,0.5,2
7_23_11_a,0.5,3
7_23_11_a,0.8,1
7_23_11_a,0.8,2
7_23_11_a,0.8,3
8_23_11_a,0.3,2
8_23_11_a,0.3,3
8_23_11_a,0.3,4
8_23_11_a,0.5,2
8_23_11_a,0.5,3
8_23_11_a,0.5,4
1_23_11_b,0.4,0
2_23_11_b,0.4,1
3_23_11_b,0.3,1
4_23_11_b,0.4,1
4_23_11_b,0.4,3
4_23_11_b,0.5,1
4_23_11_b,0.5,3
4_23_11_b,0.6,1
4_23_11_b,0.6,3
5_23_11_b,0.4,1
5_23_11_b,0.4,2
5_23_11_b,0.5,1
5_23_11_b,0.5,2
6_23_11_b,0.8,1
6_23_11_b,0.8,2
6_23_11_b,0.8,3
7_23_11_b,0.4,2
8_23_11_b,0.3,1
9_23_11_b,0.5,5
9_23_11_b,0.8,5
1_30_11_a,1.1,3
1_30_11_a,1.1,4
1_30_11_a,1.3,3
1_30_11_a,1.3,4
2_30_11_a,1,2
2_30_11_a,1,3
3_30_11_a,0.9,2
3_30_11_a,0.9,3
4_30_11_a,1.2,3
5_30_11_a,0.8,2
7_30_11_a,0.4,3
7_30_11_a,0.6,3
8_30_11_a,0.6,2
9_30_11_a,0.7,5
9_30_11_a,0.8,5
9_30_11_a,0.9,5
10_30_11_a,0.5,2
10_30_11_a,0.5,3
1_30_11_b,0.6,4
2_30_11_b,1,4
3_30_11_b,0.6,4
3_30_11_b,1,4
3_30_11_b,1.1,4
4_30_11_b,0.3,2
4_30_11_b,0.3,3
4_30_11_b,0.3,4
4_30_11_b,0.3,6
4_30_11_b,0.5,2
4_30_11_b,0.5,3
4_30_11_b,0.5,4
4_30_11_b,0.5,6
4_30_11_b,0.6,2
4_30_11_b,0.6,3
4_30_11_b,0.6,4
4_30_11_b,0.6,6
5_30_11_b,0.5,3
5_30_11_b,0.5,4
5_30_11_b,0.6,3
5_30_11_b,0.6,4
5_30_11_b,0.8,3
5_30_11_b,0.8,4
5_30_11_b,0.9,3
5_30_11_b,0.9,4
6_30_11_b,1.3,5
7_30_11_b,0.8,10
7_30_11_b,0.8,12
7_30_11_b,0.8,14
7_30_11_b,1,10
7_30_11_b,1,12
7_30_11_b,1,14
7_30_11_b,1.1,10
7_30_11_b,1.1,12
7_30_11_b,1.1,14
7_30_11_b,1.2,10
7_30_11_b,1.2,12
7_30_11_b,1.2,14
8_30_11_b,0.9,5
8_30_11_b,0.9,6
8_30_11_b,1.3,5
8_30_11_b,1.3,6
9_30_11_b,0.5,3
9_30_11_b,0.5,5
9_30_11_b,0.7,3
9_30_11_b,0.7,5
9_30_11_b,1,3
9_30_11_b,1,5
10_30_11_b,0.9,4
10_30_11_b,0.9,5
10_30_11_b,0.9,6